"","Sample.Name","location","loci","allele1","alllele2"
"152","scul389","Fairhaven Lake Ontario","loc113",138,138
"200","scul389","Fairhaven Lake Ontario","loc213",331,331
"248","scul389","Fairhaven Lake Ontario","loc2",233,236
"296","scul389","Fairhaven Lake Ontario","loc8",102,102
"344","scul389","Fairhaven Lake Ontario","loc17",111,132
"392","scul389","Fairhaven Lake Ontario","loc13",233,233
"9","scul390","Fairhaven Lake Ontario","loc105",326,336
"57","scul390","Fairhaven Lake Ontario","loc128",332,336
"105","scul390","Fairhaven Lake Ontario","loc11",204,222
"153","scul390","Fairhaven Lake Ontario","loc113",138,138
"201","scul390","Fairhaven Lake Ontario","loc213",331,331
"249","scul390","Fairhaven Lake Ontario","loc2",236,242
"297","scul390","Fairhaven Lake Ontario","loc8",102,105
"345","scul390","Fairhaven Lake Ontario","loc17",108,114
"393","scul390","Fairhaven Lake Ontario","loc13",236,239
"37","scul391","Fairhaven Lake Ontario","loc105",326,332
"85","scul391","Fairhaven Lake Ontario","loc128",332,332
"133","scul391","Fairhaven Lake Ontario","loc11",222,226
"181","scul391","Fairhaven Lake Ontario","loc113",138,138
"229","scul391","Fairhaven Lake Ontario","loc213",331,331
"277","scul391","Fairhaven Lake Ontario","loc2",245,245
"325","scul391","Fairhaven Lake Ontario","loc8",102,105
"373","scul391","Fairhaven Lake Ontario","loc17",108,111
"421","scul391","Fairhaven Lake Ontario","loc13",227,233
"10","scul392","Fairhaven Lake Ontario","loc105",332,332
"58","scul392","Fairhaven Lake Ontario","loc128",318,332
"106","scul392","Fairhaven Lake Ontario","loc11",204,222
"154","scul392","Fairhaven Lake Ontario","loc113",138,138
"202","scul392","Fairhaven Lake Ontario","loc213",331,331
"250","scul392","Fairhaven Lake Ontario","loc2",236,242
"298","scul392","Fairhaven Lake Ontario","loc8",102,105
"346","scul392","Fairhaven Lake Ontario","loc17",111,139
"394","scul392","Fairhaven Lake Ontario","loc13",233,236
"16","scul408","Fairhaven Lake Ontario","loc105",332,332
"64","scul408","Fairhaven Lake Ontario","loc128",316,348
"112","scul408","Fairhaven Lake Ontario","loc11",222,222
"160","scul408","Fairhaven Lake Ontario","loc113",132,132
"208","scul408","Fairhaven Lake Ontario","loc213",331,331
"256","scul408","Fairhaven Lake Ontario","loc2",236,236
"304","scul408","Fairhaven Lake Ontario","loc8",102,102
"352","scul408","Fairhaven Lake Ontario","loc17",111,123
"400","scul408","Fairhaven Lake Ontario","loc13",233,236
"23","scul409","Fairhaven Lake Ontario","loc105",326,326
"71","scul409","Fairhaven Lake Ontario","loc128",318,332
"119","scul409","Fairhaven Lake Ontario","loc11",218,222
"167","scul409","Fairhaven Lake Ontario","loc113",138,138
"215","scul409","Fairhaven Lake Ontario","loc213",331,331
"263","scul409","Fairhaven Lake Ontario","loc2",236,242
"311","scul409","Fairhaven Lake Ontario","loc8",102,105
